reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
59761.0,501(c)(12),MO,1946,71857103,44840891.0,19618524.0,19618524.0,53578,W,115497,0.5174246950137233,9,9,50,0,0,4
254147.0,501(c)(7),MO,1947,2714952,1438191.0,2013412.0,1918993.0,53578,N,254147,1.0,9,9,93,0,1069372,3
126488.0,501(c)(6),MO,1972,448540,10546.0,390235.0,420981.0,53578,A,126488,1.0,13,13,2,0,202022,3
175664.0,501(c)(6),MO,1937,2979973,416389.0,1304271.0,1371228.0,53578,E,175664,1.0,15,13,11,0,730134,2
294855.0,501(c)(12),MO,1949,234694202,148744060.0,106322766.0,109553097.0,53578,W,778111,0.37893693830314695,14,14,73,0,9688302,3
234525.0,501(c)(12),MO,1949,234694202,148744060.0,106322766.0,109553097.0,53578,W,778111,0.3014030131947755,14,14,73,0,9688302,3
248731.0,501(c)(12),MO,1949,234694202,148744060.0,106322766.0,109553097.0,53578,W,778111,0.3196600485020775,14,14,73,0,9688302,3
108860.0,501(c)(3),MO,1925,121542353,1142842.0,18534952.0,18373823.0,53578,B,424724,0.2563076256580744,11,11,532,500,9666133,1
122733.0,501(c)(3),MO,1925,121542353,1142842.0,18534952.0,18373823.0,53578,B,424724,0.2889711907026681,11,11,532,500,9666133,1
193131.0,501(c)(3),MO,1925,121542353,1142842.0,18534952.0,18373823.0,53578,B,424724,0.4547211836392575,11,11,532,500,9666133,1
61984.0,501(c)(3),MO,1972,154984,3500.0,325067.0,352155.0,53578,P,61984,1.0,13,12,11,100,206282,8
75746.0,501(c)(3),MO,1986,41327,10610.0,283506.0,284790.0,53578,M,75746,1.0,27,26,12,0,205934,0
572127.0,501(c)(3),MO,1882,1271627973,374359046.0,776762128.0,804692774.0,53578,E,1780063,0.3214082872347777,26,20,5133,613,355957865,3
434072.0,501(c)(3),MO,1882,1271627973,374359046.0,776762128.0,804692774.0,53578,E,1780063,0.243852043438912,26,20,5133,613,355957865,3
273932.0,501(c)(3),MO,1882,1271627973,374359046.0,776762128.0,804692774.0,53578,E,1780063,0.15388893539161255,26,20,5133,613,355957865,3
131758.0,501(c)(3),MO,1882,1271627973,374359046.0,776762128.0,804692774.0,53578,E,1780063,0.07401872855061871,26,20,5133,613,355957865,3
368174.0,501(c)(3),MO,1882,1271627973,374359046.0,776762128.0,804692774.0,53578,E,1780063,0.20683200538407912,26,20,5133,613,355957865,3
162232.0,501(c)(3),MO,1918,30765422,17192060.0,28555613.0,26722813.0,53578,T,449381,0.3610121478211139,32,31,122,4354,6252962,3
287149.0,501(c)(3),MO,1918,30765422,17192060.0,28555613.0,26722813.0,53578,T,449381,0.6389878521788861,32,31,122,4354,6252962,3
